Id,Label
1,ABN Amro
2,Addleshaw Goddard
3,Adelaide Equity Partners Ltd
4,Akerman Senterfitt LLP
5,Alfaro Abogados
6,Allen & Overy
7,Allens
8,Allens Arthur Robinson
9,Alpha Real Estate Advisors LLP
10,Alston & Bird LLP
11,Ambrian Partners Ltd
12,AmInvestment Bank Bhd
13,Andrews Kurth LLP
14,Anglo Chinese Corporate Finance Ltd
15,Ardour Capital Investments LLC
16,Arendt & Medernach
17,Arent Fox LLP
18,Argonaut Capital Ltd
19,Arnold Bloch Leibler
20,Ascend Capital Partners
21,Ashurst Australia
22,Ashurst LLP
23,"Asia Bridge Capital Co., Ltd"
24,August & Debouzy
25,Avanti Advisors Ltd
26,"AVIC Securities Co., Ltd"
27,Azure Capital Pty Ltd
28,Baker & McKenzie
29,Banco Santander SA
30,Bank of America Corporation
31,Bank of China International Ltd
32,Barclays Capital plc
33,BDO (Australia) Ltd
34,Beaumont Cornish Ltd
35,Bedell Cristin
36,"Bei Jing Yue Hua Dewei Appraisal Co., Ltd"
37,Bell Gully Services Ltd
38,"Benedetto, Gartland & Company Inc."
39,Bennett Jones LLP
40,Bird & Bird
41,Blackiston & Crabb Lawyers
42,"Blackstone Group LP, The"
43,Blake Cassels & Graydon LLP
44,Blake Dawson
45,Blake Dawson Waldron
46,Blakiston & Crabb Solicitors
47,BMO Capital Markets Corporation
48,BNP Paribas Capital (Asia Pacific) Ltd
49,Bonelli Erede Pappalardo
50,Boughton Peterson Yang Anderson
51,Bowman Gilfillan
52,Bravia Capital Hong Kong Ltd
53,Brean Murray Carret & Company LLC
54,Caliburn Partnership Pty Ltd
55,Canaccord Adams Ltd
56,Canaccord Genuity Corporation
57,Cantor Fitzgerald Europe
58,Capital Securities Corporation
59,Cassels Brock & Blackwell LLP
60,CCB International Capital Ltd
61,Chadbourne & Parke LLP
62,Charltons
63,China Development Bank
64,China International Capital Corporation Hong Kong Securities Ltd
65,"China Merchants Securities (HK) Co., Ltd"
66,China Renaissance Partners
67,"China Securities Co., Ltd"
68,CIBC World Markets Inc.
69,CIMB Bank Bhd
70,Citigroup Inc.
71,Clayton UTZ
72,Cleary Gottlieb Steen & Hamilton LLP
73,Clifford Chance LLP
74,CLSA Equity Capital Markets Ltd
75,CMS Cameron McKenna LLP
76,Conyers Dill & Pearman Ltd
77,Corrs Chambers Westgarth
78,Credit Suisse
79,Credit Suisse First Boston Corporation
80,Cuatrecasas Goncalves Pereira
81,Cullen Capital
82,Dacheng Law Firm
83,Daniel Stewart & Co plc
84,Davies Ward Phillips & Vineberg LLP
85,Davis & Gilbert LLP
86,Davis Polk & Wardwell LLP
87,DBS Bank Ltd
88,DC Advisory
89,De Brauw Blackstone Westbroek NV
90,Debevoise & Plimpton LLP
91,Deloitte
92,Deneys Reitz Inc.
93,Desjardins Securities Inc.
94,Deutsche Bank AG
95,Dewey & LeBoeuf LLC
96,DLA Piper
97,Donvex Capital Ltd
98,Dorsey & Whitney LLP
99,Dresdner Kleinwort Wasserstein
100,Duff & Phelps
101,Eisenberger & Herzog
102,Erik Penser Bankaktiebolag
103,Ernst & Young
104,Eversheds
105,Evolution Securities Ltd
106,Faegre & Benson LLP
107,Fairfax I.S. plc
107,Norton Rose Fulbright LLP
108,Fangda Partners
108,Numis Securities Ltd
109,Fenchurch Advisory Partners Ltd
109,OFFHAM Technology
110,Fenwick & West LLP
110,O'Melveny & Myers LLP
111,Field Fisher Waterhouse
111,"Orrick, Herrington & Sutcliffe LLP"
112,FIH Partners A/S
112,Osborne Clarke
113,First Shanghai Capital Ltd
113,Paul Hastings Janofsky & Walker LLP
114,FirstEnergy Capital Corporation
114,Paul Weiss Rifkind Wharton & Garrison LLP
115,Fischer Behar Chen Well Orion & Company
115,PCF Capital Group Pty Ltd
116,Flichy Grange Avocats
116,"Ping An Securities Co., Ltd"
117,Four Partners Advisory SIM SpA
117,Pinnacle Inc.
118,Fox-Davies Capital Ltd
118,Pinsent Masons LLP
119,Franck Lagorce Conseil
119,Piper Jaffray Asia Ltd
120,Fraser Milner Casgrain LLP
120,Porter & Hedges LLP
121,Freehills
121,Potter Anderson & Corroon LLP
122,Freshfields Bruckhaus Deringer
122,PricewaterhouseCoopers
123,FTI Capital Advisors LLC
123,Puji Capital Ltd
124,Gallipos AG
124,Qiao & Associates PLLC
125,"GF Securities Co., Ltd"
125,"Qilu Securities Co., Ltd"
126,"Giannuzzi Group LLC, The"
126,Qinisele Resources (Pty) Ltd
127,Gide Loyrette Nouel AARPI
127,Quam Capital Ltd
128,GMP Securities LP
128,RBC Capital Markets Corporation
129,Goldman Sachs (Asia) LLC
129,Reorient Financial Markets Ltd
130,Gowling Lafleur Henderson LLP
130,Results International Group
131,GP Bullhound Holdings Ltd
