Source,Target,Id
70,1,1
74,1,2
28,1,3
177,1,4
196,2,5
103,2,6
177,2,7
112,2,8
140,4,9
70,4,10
168,4,11
140,4,12
140,4,13
49,4,14
13,5,15
94,6,16
177,6,17
30,6,18
70,6,19
196,6,20
177,6,21
129,6,22
112,6,23
177,6,24
31,6,25
109,6,26
41,6,27
177,6,28
177,6,29
177,6,30
88,6,31
112,6,32
75,6,33
177,6,34
30,6,35
177,7,36
177,7,37
177,7,38
129,7,39
177,7,40
177,8,41
78,8,42
177,8,43
177,8,44
70,8,45
196,8,46
91,8,47
27,8,48
46,8,49
177,8,50
177,9,51
177,9,52
140,9,53
177,10,54
140,11,55
177,11,56
48,11,57
48,14,58
140,14,59
177,14,60
140,16,61
177,16,62
20,16,63
177,16,64
53,17,65
177,17,66
168,18,67
140,18,68
177,19,69
177,19,70
140,20,71
177,20,72
177,21,73
177,22,74
177,22,75
168,22,76
33,22,77
131,24,78
30,28,79
177,28,80
70,28,81
74,28,82
177,28,83
177,28,84
140,28,85
129,28,86
131,28,87
6,28,88
70,28,89
140,28,90
112,28,91
68,28,92
177,29,93
168,29,94
177,30,95
177,30,96
177,30,97
177,30,98
177,30,99
177,30,100
55,30,101
128,30,102
59,30,103
177,30,104
88,30,105
112,30,106
75,30,107
177,30,108
177,31,109
129,31,110
112,31,111
177,31,112
177,32,113
70,32,114
68,32,115
56,32,116
43,32,117
177,32,118
70,32,119
177,32,120
177,32,121
140,33,122
177,33,123
177,33,124
168,33,125
177,38,126
68,39,127
56,39,128
43,39,129
32,39,130
177,42,131
70,42,132
32,42,133
94,42,134
140,42,135
79,42,136
73,42,137
177,42,138
177,42,139
78,42,140
177,42,141
177,42,142
8,42,143
140,42,144
177,42,145
70,42,146
32,42,147
94,42,148
140,42,149
79,42,150
73,42,151
177,42,152
68,43,153
56,43,154
47,43,155
177,43,156
174,43,157
177,43,158
177,44,159
19,44,160
177,44,161
177,44,162
19,44,163
177,44,164
177,44,165
30,44,166
177,44,167
28,44,168
177,44,169
103,44,170
140,44,171
177,44,172
177,44,173
54,45,174
129,45,175
71,45,176
177,45,177
27,46,178
48,48,179
140,48,180
177,48,181
14,48,182
177,48,183
100,48,184
166,48,185
177,48,186
110,48,187
76,48,188
131,48,189
94,48,190
140,48,191
129,48,192
1,48,193
70,48,194
74,48,195
28,48,196
177,48,197
1,48,198
177,48,199
140,48,200
177,48,201
177,49,202
140,49,203
70,49,204
168,49,205
140,49,206
140,49,207
35,50,208
196,50,209
94,51,210
177,51,211
165,52,212
90,52,213
131,52,214
94,52,215
177,55,216
68,56,217
25,57,218
168,58,219
128,59,220
140,62,221
177,62,222
48,62,223
11,62,224
176,62,225
177,63,226
78,63,227
177,63,228
177,63,229
8,63,230
140,63,231
42,63,232
64,63,233
177,63,234
177,64,235
78,64,236
177,64,237
177,64,238
8,64,239
140,64,240
42,64,241
48,64,242
140,64,243
177,64,244
14,64,245
48,64,246
177,64,247
177,64,248
32,64,249
177,64,250
177,64,251
177,64,252
70,64,253
74,64,254
28,64,255
