Id,Label
1,Ackland
2,Amsterdam
3,Atlanta
4,Auckland
5,Beijing
6,Brisbane
7,Buenos Aires
8,Calgary
9,Canterbery
10,Changsha
11,Charlotte
12,Chicago
13,Christ Church
14,Cork
15,Edinbourgh
16,Frankfurt
17,Georgetown
18,Grand Cayman
19,Graz
20,Guangzhou
21,Hamilton
22,Hanoi
23,Hong Kong
24,Houston
25,Johanesberg
26,Kuala Lumpur
27,Liverpool
28,London
29,Los Angeles
30,Luxembourg
31,Madrid
32,Manchester
33,Melborne
34,Miami
35,Milan
36,Minatu-Ku
37,Minneapolis
38,Moscow
39,Mountain View
40,Mumbai
41,New York
42,Newport Beach
43,Paris
44,Perth
45,San Francisco
46,San Paolo
47,Schingellegi
48,Shanghai
49,Shenzhen
50,Singapore
51,St Helier
52,St. Louis
53,Sydney
54,Taipei
55,Tokyo
56,Toronto
57,Vancouver
58,Vienna
59,Washington DC
60,West Perth
61,Wilmington
62,Windhoek
63,Zurich
